Word,Happy,Stable,Introvert,Anxious,Depressed
laundry,0.919207993671747,0.9617936891767493,0.7688745881176884,0.9467637788756726,0.9191908671985862
speedrunner,0.6621984001587982,0.4385214965869535,0.470813198213925,0.6892376498641815,0.7821031212997198
🌭,0.90262490460657,0.9888622268248917,0.8712037254871332,0.7601203092716715,0.9577144278399252
benz,0.9259001171691661,0.9860664703043167,0.7129660631239207,0.970607298230924,0.9562005237386373
chicken,0.5995581182858123,0.4792312102796801,0.8117217320148915,0.949692976414181,0.79316074867559
taylorgang,0.8143062155915051,0.9825273343065144,0.5615844710861744,0.9929712772641668,0.9355155633054553
option,0.8751815813477886,0.7136378007580644,0.8817497775035732,0.7075907026268338,0.8004704250383945
windows,0.8280932648967603,0.7760121293622897,0.037710346864243016,0.6161922151189378,0.879627932588742
mit,0.5760629002810669,0.6503817975147788,0.0437537553104157,0.5723171821335318,0.638218592203829
helping,8.59620049507015e-05,2.3480224431438046e-09,1.0644637944423607e-06,0.030704094741815346,0.014968737300390389
allison,0.6604718868008665,0.785576330567404,0.8239848774311038,0.9280854012478039,0.9198319225326645
bikini,0.9002872329497762,0.5471805128250595,0.7879524445090138,0.8227049568685996,0.9544007822581961
disappointing,0.7395431368328633,0.6139507998148381,0.9939750379584313,0.9211138918415651,0.8221532366991438
analyst,0.160090007535453,0.02340705562674983,0.012029160188640864,0.041130443233242,0.16293759666489516
hamilton,0.8784900015486443,0.9437884182444103,0.9807558220684995,0.8743179527560188,0.7957326831388896
traveler,0.004411494738540522,0.0008981686784588216,0.011583739147903671,0.46786428679315817,0.49779054812114976
bein,0.6154334241587269,0.8546712943402641,0.7128912403242875,0.9790404214780768,0.9818747932286087
lurk,0.4970854215003786,0.5293214547708645,0.7078670273970757,0.8713363104645033,0.7915188154646977
cds,0.7231937761496896,0.9060770720321867,0.8317473318342168,0.8167939620262112,0.9262733841987598
fry,0.9525984595659776,0.9621596077088397,0.9365037865564398,0.925691732972769,0.8935991592422214
fragile,0.8611839987169903,0.8041754962430936,0.9671353973056054,0.7666873325972343,0.8106539816588076
lmt,0.985590082777055,0.8135100669056239,0.7906504913532935,0.9648126020198866,0.9786340239992282
erin,0.8013048238147242,0.8404239417999155,0.8616477290254896,0.9931037793074684,0.9939806563922793
📿,0.8274265763139248,0.9910529294567436,0.9441134723696805,0.9906395695385857,0.9727976044702973
rattpack,0.7093638359756784,0.4392328206183911,0.6237961231473428,0.976184579259417,0.9904076012853413
limited,0.979789654107438,0.9345670684179721,0.6780484249493226,0.8298395227557909,0.9605158574974513
capitalist,0.9803047809226726,0.7327539861749452,0.41811052039065566,0.7296529607276367,0.9408910646135611
manners,0.7401866898442755,0.9240122075309947,0.930227474503478,0.8940918994903284,0.9468716601255618
iowa,0.06094645533575105,0.02367937854136093,0.9670423336511849,0.13382065228990148,0.1817637748792098
bartender,0.6783675881026427,0.8721064372749974,0.4094011229093151,0.9712211296720457,0.7927127809457959
participant,0.7302331593399185,0.7221126930668218,0.581473194477111,0.6901266394815699,0.7473788311948015
difficult,0.6643650332637703,0.7824342812289904,0.7405490986934893,0.9976854488868958,0.9016766629410968
fred,0.8412916727598616,0.865625761517369,0.9359824943573398,0.9582867829648525,0.9619883473575592
souls,0.9588125061963553,0.9646898086502422,0.667940578216349,0.956503572806092,0.7783614404854848
tabletop,0.5629098220616822,0.4517941842842115,0.11301650977167332,0.45493205627729294,0.87373237688417
held,0.7992295578824531,0.9270113086561469,0.7376931149825152,0.7883457715375224,0.9619730304024092
else,0.480911243858974,0.872165391496361,0.6495665416018765,0.6778597876005583,0.8572306897574329
alleged,0.8575558902921891,0.7861813453361322,0.6905712614054835,0.9074423592092142,0.8821818738614038
kyle,0.7962410494418286,0.8278107855814465,0.7161197891746367,0.8686799330333446,0.83800763774595
